feature,year_2025,decile,n,feature_mean,stars_mean,expected_mean,residual_mean
Poverty exposure,0,1,50,9.027779613147114,3.86,3.7214990837753747,0.13850091622462507
Poverty exposure,0,2,48,10.257004920624976,3.8854166666666665,3.709964888120498,0.1754517785461689
Poverty exposure,0,3,42,11.129986264141742,3.630952380952381,3.6421240205781427,-0.01117163962576209
Poverty exposure,0,4,53,11.744958499222404,3.8207547169811322,3.763712684477094,0.05704203250403805
Poverty exposure,0,5,52,12.313531129502529,3.7788461538461537,3.747271582132904,0.03157457171324963
Poverty exposure,0,6,52,12.831404285934857,3.4615384615384617,3.651225895932367,-0.18968743439390542
Poverty exposure,0,7,54,13.44353116871741,3.6018518518518516,3.684203387074221,-0.08235153522236933
Poverty exposure,0,8,60,14.247364660013242,3.7416666666666667,3.629875804681139,0.11179086198552826
Poverty exposure,0,9,62,15.28814267592772,3.532258064516129,3.6740456831119572,-0.1417876185958283
Poverty exposure,0,10,56,18.0521989125656,3.5625,3.5434393053977353,0.019060694602264845
Poverty exposure,1,1,54,8.97377118103721,3.6018518518518516,3.707591265092274,-0.10573941324042256
Poverty exposure,1,2,55,10.263313039538113,3.672727272727273,3.671507315063376,0.0012199576638965354
Poverty exposure,1,3,62,11.126753358256181,3.717741935483871,3.690751061685363,0.026990873798507693
Poverty exposure,1,4,50,11.769370393189444,3.76,3.6898565821274563,0.07014341787254347
Poverty exposure,1,5,52,12.305600099916596,3.769230769230769,3.67559330687975,0.09363746235101872
Poverty exposure,1,6,51,12.909719450459056,3.5784313725490198,3.651239575667895,-0.07280820311887508
Poverty exposure,1,7,49,13.486361595975751,3.6020408163265305,3.6746462378603075,-0.07260542153377678
Poverty exposure,1,8,44,14.285904352374388,3.5681818181818183,3.6625827277759613,-0.0944009095941433
Poverty exposure,1,9,41,15.256087401654296,3.5,3.645654703176244,-0.14565470317624352
Poverty exposure,1,10,48,18.2886368360546,3.6979166666666665,3.509511859709745,0.18840480695692144
